Definíció: Villamos áramkör,"Azon villamos szerkezetek együttese, amelyek táplálása és túláramvédelme közös."
Milyen típusú kismegszakító ajánlott lakossági világítási áramkörökhöz?,B 10-es kismegszakító.
Milyen típusú kismegszakító ajánlott lakossági dugaszolóaljzatokhoz?,C 16-os kismegszakító.
Milyen érzékenységű áram-védőkapcsoló kötelező a lakossági általános célú dugaszolóaljzatokhoz?,$30\ mA$ névleges kioldóáramú.
Melyek a fürdőszobai „0” sáv határai?,A fürdőkád vagy a zuhanytálca belseje (víztere).
Szabad-e PE (védő) vezetőt megszakítani leválasztó kapcsolóval?,"Nem, a védővezetőt soha nem szabad megszakítani."
Mi a TN-C rendszer fő jellemzője a vezetők tekintetében?,A védő- és nullavezető egy közös PEN vezetőben van egyesítve a teljes hálózaton.
Mit jelent a TN-S jelölésben az „S” betű?,Separated (elkülönített): a védővezető (PE) és a nullavezető (N) külön van választva.
Mi a TN-C-S rendszer lényege?,"A hálózat egy részén közös a PEN vezető, majd egy ponton (pl. főelosztó) PE és N vezetőre válik szét."
Szabad-e a szétválasztott N és PE vezetőt később újra közösíteni?,"Nem, az újbóli közösítés szigorúan tilos."
Milyen színű a nullavezető (N) szigetelése?,Világoskék.
Milyen színű a védővezető (PE) szigetelése?,Zöld/sárga.
Mi a hurokimpedancia ($Z_s$) feltétele TN-rendszerben az önműködő lekapcsoláshoz?,$Z_s \le \frac{U_0}{I_a}$
Milyen értékű az érintési limitfeszültség ($U_L$) váltakozó áram esetén?,$50V\ AC$.
Milyen értékű az érintési limitfeszültség ($U_L$) egyenáram esetén?,$120V\ DC$.
Hogyan működik az áram-védőkapcsoló (ÁVK)?,"Érzékeli az üzemi vezetők áramainak különbségét (hibaáram), és lekapcsol, ha ez meghaladja a névleges értéket."
Mire szolgál az „AC” típusú áram-védőkapcsoló?,Tiszta szinuszos váltakozó áramú hálózatok szivárgó áram védelmére.
Melyik ÁVK típus alkalmas pulzáló egyenáramú komponenseket tartalmazó hálózatokhoz?,Az „A” típusú áram-védőkapcsoló.
Milyen mélységbe kell fektetni a földkábelt szabályozott terepen?,"Minimum 0,7 méter mélységbe."
Mi a kábeltéglázás vagy fedlapozás célja?,Mechanikai védelem biztosítása a kábel számára a földárokban.
Mennyi a kábel legkisebb megengedett hajlítási sugara fektetéskor?,$10d$ (ahol $d$ a kábel külső átmérője).
Milyen színű kábeljelző szalagot kell alkalmazni erősáramú kábel felett?,"Sárga színűt, villámjellel ellátva."
Milyen eszközt használnak a kábelerek azonosítására az üzembe helyezés előtt?,Kicsengető eszközt vagy folytonosságvizsgálót.
Mi a mágneskapcsoló működtető tekercsének szabványos jelölése?,A1 és A2.
Mit jelent az NO rövidítés az érintkezőknél?,Normal Open (alaphelyzetben nyitott).
Mit jelent az NC rövidítés az érintkezőknél?,Normal Close (alaphelyzetben zárt).
Mi a funkciója a „keresztreteszelésnek” irányváltó kapcsolásban?,"Megakadályozza a két mágneskapcsoló egyidejű behúzását, ami zárlatot okozna."
Milyen készülékkel védhető meg leghatásosabban a motor a túlmelegedéstől?,Beépített PTC érzékelős termisztoros védelmi relével.
Mi a különbség a szilárdtest relé és a hagyományos relé között?,"A szilárdtest relé nem tartalmaz mozgó alkatrészt, félvezetőkkel kapcsol."
"Melyik védőcső típus (MÜ I, II, III) a legellenállóbb a mechanikai behatásokkal szemben?",Az MÜ I jelű merev műanyag védőcső.
Milyen színtartományú fényt érzékel az emberi szem?,"Vörös, sárga, zöld és kék hullámhosszúságú sugarak keverékét."
Mi a megvilágítás ($E$) mértékegysége?,Lx (lux).
Mi a fényerősség ($I$) mértékegysége?,cd (kandela).
Milyen előnye van az elektronikus előtétnek a hagyományos fojtótekercshez képest?,"Nincs vibrálás, kisebb a veszteség, és nincs szükség külön gyújtóra."
Mit mutat meg az IP védettség első számjegye?,A szilárd tárgyak és érintés elleni védelem mértékét.
Hogyan kell a szelektivitást biztosítani túláramvédelmi eszközöknél?,"Úgy, hogy hiba esetén a hibahelyhez legközelebbi eszköz oldjon ki először."
Mi a különbség a kismegszakító termikus és elektromágneses kioldója között?,"A termikus a túlterhelés ellen (lassú), az elektromágneses a zárlat ellen (gyors) véd."
Milyen kioldási tényező ($\alpha$) tartozik a „C” jelleggörbéjű kismegszakítóhoz?,$\alpha = 10$.
Milyen érintésvédelmi mód a SELV?,Földeletlen érintésvédelmi törpefeszültség.
Milyen érintésvédelmi osztályba tartoznak a kettős szigetelésű készülékek?,II. érintésvédelmi osztályba.
Mi jellemzi a III. érintésvédelmi osztályba tartozó gyártmányokat?,Érintésvédelmi törpefeszültségű ($SELV/PELV$) tápláláson alapul a védelmük.
Mi a villamos elválasztás lényege mint hibavédelmi mód?,"A fogyasztót egy földeletlen biztonsági transzformátorról táplálják, így testzárlatkor nem záródik áramkör a földön át."
Hány fogyasztó táplálható egyetlen biztonsági transzformátorról villamos elválasztás esetén?,Fő szabály szerint csak egyetlen fogyasztókészülék.
Mi az EPH (Egyen Potenciálra Hozás) célja?,A különböző vezetőképes részek közötti potenciálkülönbség és így az áramütés veszélyének megszüntetése.
